Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Category,Latitude,Longitude,Wikipedia_URL,Wikipedia_Image
Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,Heritage,28.6129332,77.2294928,https://en.wikipedia.org/wiki/India_Gate,https://upload.wikimedia.org/wikipedia/commons/3/33/A_Mass_Run_against_Drug_Abuse%2C_on_the_occasion_of_the_International_Day_Against_Drug_Abuse_and_Illicit_Trafficking%2C_at_India_Gate%2C_in_New_Delhi_on_June_26%2C_2011.jpg
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,Heritage,28.5932856,77.2506468,https://en.wikipedia.org/wiki/Humayun%27s_Tomb,https://upload.wikimedia.org/wikipedia/commons/d/d0/%22Capture_of_the_King_of_Delhi_by_Captain_Hodson%22.jpg
Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,Yes,,Religious,No,0.4,Afternoon,Temple,28.6125167,77.2773184,https://en.wikipedia.org/wiki/Swaminarayan_Akshardham_(Delhi),https://upload.wikimedia.org/wikipedia/commons/9/98/Akshardham_Delhi_Ricky_W.jpg
Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,Modern,42.2781401,-74.9159946,https://en.wikipedia.org/wiki/List_of_parks_in_Delhi,https://upload.wikimedia.org/wikipedia/commons/7/75/Sunder_Nursery.jpg
Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15,Yes,,Scientific,Yes,0.31,Morning,Modern,28.6271791,77.2166166,"https://en.wikipedia.org/wiki/Jantar_Mantar,_New_Delhi",https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg
Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,Modern,28.6559834,77.2321937,https://en.wikipedia.org/wiki/Chandni_Chowk,https://upload.wikimedia.org/wikipedia/commons/3/3d/A_panorama_in_12_folds_showing_the_procession_of_the_Emperor_Bahadur_Shah_to_celebrate_the_feast_of_the_%27Id.%2C_1843.jpg
Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1.0,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,Temple,28.5533586,77.2586006,https://en.wikipedia.org/wiki/Lotus_Temple,https://upload.wikimedia.org/wikipedia/commons/2/22/101-Lotus-Temple-Information-Centre.JPG
Northern,Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,Heritage,28.656081,77.2407959,https://en.wikipedia.org/wiki/Red_Fort,https://upload.wikimedia.org/wikipedia/commons/4/4c/%27Jujhar_Singh_Bundela_Kneels_in_Submission_to_Shah_Jahan%27%2C_painted_by_Bichitr%2C_c._1630%2C_Chester_Beatty_Library_%28cropped2%29.jpg
Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1.0,4.2,0,Yes,,Historical,Yes,0.41,Afternoon,Heritage,28.6260676,77.2250111,https://en.wikipedia.org/wiki/Agrasen_Ki_Baoli,https://upload.wikimedia.org/wikipedia/commons/f/f4/Agrasen_Ki_Baoli_Panorama.jpg
Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2.0,4.6,0,Yes,,Botanical,Yes,0.16,Afternoon,Modern,28.5969098,77.2470188,https://en.wikipedia.org/wiki/Sunder_Nursery,https://upload.wikimedia.org/wikipedia/commons/d/d1/Ampitheatre_Sunder_Nursery.jpg
